,AQI Category,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,VG_nan
1240,1,5.4,8.9,0.6,1022.4,77,0.0,12.1,3.0,9.4,42.4,1,0,0,0,1
125,1,28.4,33.9,23.3,1017.4,72,0.0,16.1,17.2,24.1,33.5,0,0,0,0,0
186,0,1.1,2.2,0.0,1030.0,69,1.27,16.1,7.4,13.0,42.4,0,0,0,0,1
918,1,19.6,25.6,16.1,1016.2,68,0.0,16.1,25.2,38.9,57.6,1,0,1,0,0
18,1,8.3,15.6,2.8,1016.0,91,0.0,11.1,15.0,40.7,57.6,1,0,0,0,0
1149,1,24.2,29.4,20.0,1014.4,76,0.0,15.9,6.7,18.3,42.4,1,0,1,0,1
1094,1,5.5,13.3,-2.8,1033.7,58,0.0,16.1,6.5,16.5,42.4,0,0,0,0,1
446,1,17.1,23.3,10.0,1023.3,63,0.0,15.8,7.2,18.3,42.4,0,0,0,0,1
469,1,30.7,36.7,26.1,1009.7,61,0.0,16.1,14.1,24.1,42.4,1,0,1,0,1
745,1,12.8,23.3,6.1,1020.0,62,0.0,16.1,13.9,24.1,33.5,0,0,0,0,0
933,1,20.9,26.7,15.0,1003.8,58,21.08,15.4,30.2,72.2,96.5,1,0,1,0,0
895,1,1.6,11.1,-7.2,1028.8,58,0.0,16.1,8.3,25.9,35.2,0,0,0,0,0
46,1,9.4,19.4,5.6,1013.8,59,3.3,15.9,27.6,38.9,53.5,1,0,0,0,0
5,0,1.3,7.8,-10.6,1035.0,56,0.0,16.1,6.9,16.5,42.4,0,0,0,0,1
314,0,27.6,35.0,22.8,1012.8,63,2.29,15.4,8.7,14.8,42.4,0,0,0,0,1
428,1,11.5,15.6,7.8,1025.8,52,0.0,16.1,19.6,33.5,46.5,0,0,0,0,0
731,1,6.8,13.3,3.3,1014.1,47,0.0,16.1,43.9,63.0,85.2,0,0,0,0,0
311,1,25.1,31.1,18.9,1019.8,76,0.0,15.6,6.9,14.8,42.4,1,0,0,0,1
544,1,8.8,12.2,3.9,1016.7,54,0.0,16.1,10.2,16.5,42.4,0,0,0,0,1
196,1,7.1,15.0,1.1,1014.3,63,20.83,16.1,13.7,22.2,42.4,0,0,0,0,1
492,1,30.3,36.7,23.3,1010.4,64,0.0,16.1,6.5,20.6,40.7,0,0,0,0,0
616,1,20.0,27.2,11.7,1020.3,72,0.25,16.1,13.5,22.2,35.2,0,0,0,0,0
359,1,16.4,20.6,11.1,1014.3,86,0.76,7.9,10.6,20.6,42.4,1,0,0,1,1
729,1,12.4,13.9,11.0,1011.4,83,0.25,10.0,7.0,18.3,42.4,1,0,0,0,1
625,1,13.4,19.4,6.7,1013.8,56,0.25,16.1,9.8,18.3,42.4,0,0,0,0,1
619,1,17.8,22.2,15.0,1007.2,83,7.11,15.0,9.8,16.5,42.4,1,0,0,0,1
188,1,8.6,12.2,6.7,1024.5,58,0.0,16.1,14.6,25.9,42.4,0,0,0,0,1
1103,1,8.7,13.9,3.3,1017.9,76,10.41,14.8,12.0,20.6,42.4,1,0,0,0,1
834,0,22.1,28.9,14.4,1023.1,76,0.0,16.1,7.0,22.2,42.4,0,0,0,0,1
144,1,23.7,28.9,13.9,1014.7,61,0.0,16.1,19.4,31.7,38.9,0,0,0,0,0
1203,1,21.3,28.9,13.9,1015.4,61,0.0,16.1,11.1,18.3,42.4,0,0,0,0,1
322,1,24.3,30.6,19.4,1012.9,75,0.0,13.7,12.6,33.5,40.7,1,0,0,1,0
367,1,5.9,8.3,2.2,1023.2,42,6.1,16.1,21.3,31.7,48.2,0,0,0,0,0
1113,1,14.4,25.6,10.0,1016.9,58,9.4,16.1,16.5,25.9,37.0,0,0,0,0,0
56,1,8.6,10.6,6.1,1024.0,80,0.76,14.3,16.7,27.8,35.2,1,0,0,0,0
1030,1,14.2,28.3,7.2,1018.2,61,10.67,15.6,20.6,42.4,90.7,1,0,1,0,0
584,0,16.3,20.6,9.4,1011.8,44,0.0,16.1,15.2,27.8,35.2,0,0,0,0,0
917,1,13.2,22.2,7.2,1023.7,62,0.0,16.1,13.7,25.9,40.7,0,0,0,0,0
254,1,19.9,25.6,15.6,1021.8,86,0.25,7.7,9.6,20.6,42.4,0,0,0,1,1
456,1,24.8,32.2,20.0,1007.2,48,27.43,15.6,16.7,35.2,44.6,1,0,0,0,0
698,1,-5.2,0.6,-6.7,1030.0,47,0.0,16.1,27.2,35.2,50.0,0,0,0,0,0
1079,1,15.9,16.7,15.6,996.7,96,41.15,8.9,11.1,16.5,42.4,1,0,0,0,1
855,1,7.9,9.4,6.1,1027.5,69,4.83,16.1,17.8,25.9,35.2,1,0,0,0,0
1,0,7.3,11.7,-1.7,1014.8,71,0.0,15.8,3.1,7.6,42.4,1,0,0,0,1
393,1,1.3,2.2,0.6,1026.0,71,0.0,16.1,1.5,9.4,42.4,0,0,0,0,1
1243,1,0.3,5.0,-3.0,1017.9,41,0.25,16.1,14.6,22.2,35.2,0,0,0,0,0
896,0,1.2,11.1,-4.4,1027.6,79,0.0,15.8,9.8,20.6,42.4,0,0,0,0,1
86,1,21.1,27.2,16.1,1020.2,63,0.0,16.1,8.7,14.8,42.4,0,0,0,0,1
801,1,27.8,33.3,21.7,1015.3,74,0.0,15.8,11.1,20.6,33.5,1,0,1,0,0
438,1,22.6,32.2,20.6,1009.6,74,2.03,15.1,15.6,53.5,72.2,1,0,1,0,0
53,1,19.4,27.8,12.2,1022.2,65,0.0,15.3,16.5,33.5,44.6,0,0,0,0,0
671,1,19.9,23.3,18.9,1023.2,85,0.0,13.4,23.0,29.4,42.4,1,0,0,0,0
692,1,12.4,17.2,3.3,1013.9,54,0.0,16.1,11.5,18.3,42.4,0,0,0,0,1
1229,1,15.6,23.3,12.2,1017.2,88,3.3,5.5,4.6,14.8,42.4,0,0,0,1,1
591,1,14.4,18.9,10.6,1011.9,46,6.35,15.8,24.6,38.9,55.4,1,0,0,0,0
40,1,7.8,13.9,3.3,1019.8,85,3.05,8.7,18.0,37.0,59.4,1,0,0,1,0
405,0,13.8,25.0,5.6,1017.2,49,0.0,16.1,11.3,31.7,44.6,0,0,0,0,0
